query,x,y,z,roll,pitch,yaw,width,obj_height,success,label,scene,source
tomato soup,0.4344765342960289,-0.6842599277978338,0.7867337703704833,0.0,0.0,-1.457436442375183,0.0312635079026222,0.0017337799072265,1,1,owg_tray,ui_log_auto_v1
chips,-0.0528880866425992,-0.7492418772563176,0.8541484117507934,0.0,0.0,-1.515838384628296,0.02957509085536,0.0691484212875366,1,1,owg_tray,ui_log_auto_v1
tennis,-0.1864620938628158,-0.5976173285198556,0.8410251379013061,0.0,0.0,-0.5004521608352661,0.0380451306700706,0.0560251474380493,1,1,owg_tray,ui_log_auto_v1
sauce\,0.2214801444043322,-0.7420216606498194,0.8221800565719604,0.0,0.0,-0.4615610837936401,0.0482809133827686,0.0371800661087036,1,1,owg_tray,ui_log_auto_v1
a tennis ball,-0.1864620938628158,-0.5976173285198556,0.8410254955291747,0.0,0.0,-0.5004955530166626,0.0380467362701892,0.0560255050659179,1,1,owg_tray,ui_log_auto_v1
hammer,-0.2153429602888086,-0.5398555956678701,0.7849132061004638,0.0,0.0,0.2275583744049072,0.0429496020078659,-8.678436279296875e-05,1,1,owg_tray,ui_log_auto_v1
soda can,-0.2117328519855595,-0.4459927797833935,0.8689109325408935,0.0,0.0,0.2028610706329345,0.041665568947792,0.0839109420776367,1,1,owg_tray,ui_log_auto_v1
tennis ball,-0.1720216606498194,-0.5976173285198556,0.8434596300125121,0.0,0.0,-0.5555682182312012,0.0364583767950534,0.0584596395492553,1,1,owg_tray,ui_log_auto_v1
hammer,-0.226173285198556,-0.3340794223826715,0.8118072986602782,0.0,0.0,-0.6088788509368896,0.0362338796257972,0.0268073081970214,1,1,owg_tray,ui_log_auto_v1
a can of potato chips,-0.0528880866425992,-0.763682310469314,0.8541196823120116,0.0,0.0,-1.508307933807373,0.0300462804734706,0.0691196918487548,1,1,owg_tray,ui_log_auto_v1
black clamp,0.0518050541516245,-0.5037545126353791,0.8215353727340697,0.0,0.0,-0.931288719177246,0.037019096314907,0.0365353822708129,1,1,owg_tray,ui_log_auto_v1
mustard,0.1240072202166065,-0.3629602888086642,0.8395127296447753,0.0,0.0,-0.6612963676452637,0.0533100813627243,0.0545127391815185,1,1,owg_tray,ui_log_auto_v1
tomato soup,0.2720216606498195,-0.3449097472924187,0.8670435190200805,0.0,0.0,-0.730776309967041,0.0395803786814212,0.0820435285568237,1,1,owg_tray,ui_log_auto_v1
scissors,0.178158844765343,-0.7420216606498194,0.8130946397781371,0.0,0.0,-0.2838515043258667,0.0313345380127429,0.0280946493148803,1,1,owg_tray,ui_log_auto_v1
a small tin can,0.1276173285198556,-0.5867870036101083,0.8582303762435912,0.0,0.0,-0.9863321781158448,0.0335012711584568,0.0732303857803344,1,1,owg_tray,ui_log_auto_v1
a can of soup,0.4344765342960289,-0.6842599277978338,0.7867293596267699,0.0,0.0,-1.4578100442886353,0.0312478747218847,0.0017293691635131,1,1,owg_tray,ui_log_auto_v1
crackers,0.2684115523465705,-0.5218050541516245,0.970240557193756,0.0,0.0,-1.4209858179092407,0.0476920418441295,0.1852405667304992,1,1,owg_tray,ui_log_auto_v1
scissors,0.1203971119133574,-0.7348014440433213,0.7849132061004638,0.0,0.0,-0.5891704559326172,0.0222776476293802,-8.678436279296875e-05,1,1,owg_tray,ui_log_auto_v1
a black clamp,0.0518050541516245,-0.5037545126353791,0.8215357303619384,0.0,0.0,-0.9312987923622132,0.0370140261948108,0.0365357398986816,1,1,owg_tray,ui_log_auto_v1
mustard,0.3081227436823104,-0.7059205776173285,0.9067924857139588,0.0,0.0,-0.817054808139801,0.0487855933606624,0.1217924952507019,0,0,owg_tray,ui_log_auto_v1
tomato soup,0.3911552346570398,-0.7384115523465704,0.8504417181015014,0.0,0.0,0.8161735534667969,0.0267351884394884,0.0654417276382446,1,1,owg_tray,ui_log_auto_v1
tennis,-0.1864620938628158,-0.5976173285198556,0.8410251379013061,0.0,0.0,-0.5010828971862793,0.0380470044910907,0.0560251474380493,1,1,owg_tray,ui_log_auto_v1
a hammer,-0.2009025270758123,-0.5254151624548737,0.8097576141357421,0.0,0.0,0.238574743270874,0.0440863743424415,0.0247576236724853,1,1,owg_tray,ui_log_auto_v1
a soda can,0.1276173285198556,-0.5867870036101083,0.8582613706588744,0.0,0.0,-0.9705398082733154,0.032991986721754,0.0732613801956176,1,1,owg_tray,ui_log_auto_v1
chips,0.1023465703971119,-0.7745126353790613,0.8435830116271972,0.0,0.0,-0.8780084252357483,0.0343284010887146,0.0585830211639404,1,1,owg_tray,ui_log_auto_v1
meat,0.3045126353790613,-0.3665703971119133,0.8650737047195434,0.0,0.0,0.3856196403503418,0.0473958104848861,0.0800737142562866,1,1,owg_tray,ui_log_auto_v1
tomato soup,0.438086642599278,-0.6806498194945848,0.7849132061004638,0.0,0.0,-1.4349985122680664,0.0320225171744823,-8.678436279296875e-05,1,1,owg_tray,ui_log_auto_v1
scissors,0.1203971119133574,-0.7348014440433213,0.7849132061004638,0.0,0.0,-0.5892026424407959,0.0222722981125116,-8.678436279296875e-05,1,1,owg_tray,ui_log_auto_v1
mustard,0.3370036101083033,-0.7059205776173285,0.8394084215164184,0.0,0.0,-0.8350943326950073,0.0460659153759479,0.0544084310531616,1,1,owg_tray,ui_log_auto_v1
black clamp,0.0518050541516245,-0.5037545126353791,0.8215342998504638,0.0,0.0,-0.9313108921051024,0.0370136238634586,0.036534309387207,1,1,owg_tray,ui_log_auto_v1
a can of potato chips,-0.0528880866425992,-0.7492418772563176,0.8541484117507934,0.0,0.0,-1.515838384628296,0.02957509085536,0.0691484212875366,1,1,owg_tray,ui_log_auto_v1
hammer,-0.2514440433212996,-0.4965342960288809,0.8118567705154418,0.0,0.0,0.2555391788482666,0.0470304079353809,0.026856780052185,1,1,owg_tray,ui_log_auto_v1
soda,0.1203971119133574,-0.5831768953068592,0.8560760259628295,0.0,0.0,-0.8874908089637756,0.0344622172415256,0.0710760354995727,1,1,owg_tray,ui_log_auto_v1
meatmm,0.2250902527075812,-0.427942238267148,0.8319756031036376,0.0,0.0,0.1641242504119873,0.0471047721803188,0.0469756126403808,1,1,owg_tray,ui_log_auto_v1
the tennis ball,-0.1864620938628158,-0.5976173285198556,0.8410254955291747,0.0,0.0,-0.5004955530166626,0.0380467362701892,0.0560255050659179,1,1,owg_tray,ui_log_auto_v1
the hammer,-0.2153429602888086,-0.5398555956678701,0.7849132061004638,0.0,0.0,0.2275545597076416,0.0429489724338054,-8.678436279296875e-05,1,1,owg_tray,ui_log_auto_v1
the blue can,-0.2839350180505414,-0.792563176895307,0.8550154209136962,0.0,0.0,-0.0718905925750732,0.0266040470451116,0.0700154304504394,1,1,owg_tray,ui_log_auto_v1
the can of potato chips,0.0157039711191336,-0.7203610108303249,0.8514095783233642,0.0,0.0,1.402458906173706,0.0355671532452106,0.0664095878601074,1,1,owg_tray,ui_log_auto_v1
the black clamp,0.1095667870036101,-0.3051985559566786,0.8300323724746703,0.0,0.0,-0.7305395007133484,0.0174464769661426,0.0450323820114135,1,1,owg_tray,ui_log_auto_v1
scissors,-0.1828519855595667,-0.6373285198555956,0.8080287218093871,0.0,0.0,-0.6776494383811951,0.0217611845582723,0.0230287313461303,1,1,owg_tray,ui_log_auto_v1
tomato soup,0.3586642599277979,-0.7131407942238267,0.8503333568572997,0.0,0.0,0.2152206897735595,0.0412148013710975,0.0653333663940429,1,1,owg_tray,ui_log_auto_v1
lunch meat,0.1167870036101083,-0.5831768953068592,0.8579178094863891,0.0,0.0,-0.8495091199874878,0.0344087332487106,0.0729178190231323,1,1,owg_tray,ui_log_auto_v1
